entity_id,state,last_changed
sensor.felix_weather_temperatur,19.4,2025-01-24T23:00:00.000Z
sensor.felix_weather_temperatur,19.2,2025-01-24T23:28:56.994Z
sensor.felix_weather_temperatur,19.1,2025-01-24T23:58:35.083Z
sensor.felix_weather_temperatur,19.0,2025-01-25T00:29:52.861Z
sensor.felix_weather_temperatur,18.9,2025-01-25T00:36:05.050Z
sensor.felix_weather_temperatur,19.0,2025-01-25T01:22:56.869Z
sensor.felix_weather_temperatur,18.8,2025-01-25T02:04:27.739Z
sensor.felix_weather_temperatur,18.7,2025-01-25T02:17:31.198Z
sensor.felix_weather_temperatur,18.6,2025-01-25T02:29:34.864Z
sensor.felix_weather_temperatur,18.5,2025-01-25T02:49:10.150Z
sensor.felix_weather_temperatur,18.4,2025-01-25T03:16:07.888Z
sensor.felix_weather_temperatur,18.3,2025-01-25T04:07:01.535Z
sensor.felix_weather_temperatur,18.2,2025-01-25T04:31:18.404Z
sensor.felix_weather_temperatur,18.1,2025-01-25T05:04:16.790Z
sensor.felix_weather_temperatur,18.3,2025-01-25T05:18:20.995Z
sensor.felix_weather_temperatur,18.4,2025-01-25T05:26:53.533Z
sensor.felix_weather_temperatur,18.5,2025-01-25T05:30:04.544Z
sensor.felix_weather_temperatur,18.7,2025-01-25T05:52:30.185Z
sensor.felix_weather_temperatur,18.8,2025-01-25T06:01:12.500Z
sensor.felix_weather_temperatur,18.9,2025-01-25T06:06:34.546Z
sensor.felix_weather_temperatur,19.0,2025-01-25T06:59:17.743Z
sensor.felix_weather_temperatur,19.1,2025-01-25T07:15:12.240Z
sensor.felix_weather_temperatur,19.2,2025-01-25T07:50:31.458Z
sensor.felix_weather_temperatur,19.3,2025-01-25T08:16:58.701Z
sensor.felix_weather_temperatur,19.6,2025-01-25T08:51:07.166Z
sensor.felix_weather_temperatur,19.7,2025-01-25T08:53:08.369Z
sensor.felix_weather_temperatur,19.8,2025-01-25T09:14:53.982Z
sensor.felix_weather_temperatur,20.0,2025-01-25T10:32:33.835Z
sensor.felix_weather_temperatur,20.1,2025-01-25T10:33:14.214Z
sensor.felix_weather_temperatur,20.2,2025-01-25T11:51:54.724Z
sensor.felix_weather_temperatur,20.1,2025-01-25T12:44:58.663Z
sensor.felix_weather_temperatur,20.0,2025-01-25T13:29:40.557Z
sensor.felix_weather_temperatur,19.7,2025-01-25T13:42:53.929Z
sensor.felix_weather_temperatur,19.6,2025-01-25T13:50:35.975Z
sensor.felix_weather_temperatur,19.4,2025-01-25T14:20:03.245Z
sensor.felix_weather_temperatur,19.2,2025-01-25T14:36:58.103Z
sensor.felix_weather_temperatur,19.4,2025-01-25T15:16:28.328Z
sensor.felix_weather_temperatur,19.3,2025-01-25T15:51:07.453Z
sensor.felix_weather_temperatur,19.2,2025-01-25T16:12:23.551Z
sensor.felix_weather_temperatur,19.3,2025-01-25T17:47:58.506Z
